10250.0;HANAR;N/A;41.0;7.7;;10.0;0.0;
10250.0;HANAR;N/A;51.0;42.4;;35.0;0.15;
10250.0;HANAR;N/A;65.0;16.8;;15.0;0.15;
10253.0;HANAR;N/A;31.0;10.0;;20.0;0.0;
10253.0;HANAR;N/A;39.0;14.4;;42.0;0.0;
10253.0;HANAR;N/A;49.0;16.0;;40.0;0.0;
10254.0;CHOPS;N/A;24.0;3.6;;15.0;0.15;
10254.0;CHOPS;N/A;55.0;19.2;;21.0;0.15;
10254.0;CHOPS;N/A;74.0;8.0;;21.0;0.0;
10257.0;HILAA;N/A;27.0;35.1;;25.0;0.0;
10257.0;HILAA;N/A;39.0;14.4;;6.0;0.0;
10257.0;HILAA;N/A;77.0;10.4;;15.0;0.0;
10267.0;FRANK;N/A;40.0;14.7;;50.0;0.0;
10267.0;FRANK;N/A;59.0;44.0;;70.0;0.15;
10267.0;FRANK;N/A;76.0;14.4;;15.0;0.15;
10268.0;GROSR;N/A;29.0;99.0;;10.0;0.0;
10268.0;GROSR;N/A;72.0;27.8;;4.0;0.0;
10275.0;MAGAA;N/A;24.0;3.6;;12.0;0.05;
10275.0;MAGAA;N/A;59.0;44.0;;6.0;0.05;
10277.0;MORGK;N/A;28.0;36.4;;20.0;0.0;
10277.0;MORGK;N/A;62.0;39.4;;12.0;0.0;
10279.0;LEHMS;N/A;17.0;31.2;;15.0;0.25;
10283.0;LILAS;N/A;15.0;12.4;;20.0;0.0;
10283.0;LILAS;N/A;19.0;7.3;;18.0;0.0;
10283.0;LILAS;N/A;60.0;27.2;;35.0;0.0;
10283.0;LILAS;N/A;72.0;27.8;;3.0;0.0;
10284.0;LEHMS;N/A;27.0;35.1;;15.0;0.25;
10284.0;LEHMS;N/A;44.0;15.5;;21.0;0.0;
10284.0;LEHMS;N/A;60.0;27.2;;20.0;0.25;
10284.0;LEHMS;N/A;67.0;11.2;;5.0;0.25;
10296.0;LILAS;N/A;11.0;16.8;;12.0;0.0;
10296.0;LILAS;N/A;16.0;13.9;;30.0;0.0;
10296.0;LILAS;N/A;69.0;28.8;;15.0;0.0;
10298.0;HUNGO;N/A;2.0;15.2;;40.0;0.0;
10298.0;HUNGO;N/A;36.0;15.2;;40.0;0.25;
10298.0;HUNGO;N/A;59.0;44.0;;30.0;0.25;
10298.0;HUNGO;N/A;62.0;39.4;;15.0;0.0;
10300.0;MAGAA;N/A;66.0;13.6;;30.0;0.0;
10300.0;MAGAA;N/A;68.0;10.0;;20.0;0.0;
10303.0;GODOS;N/A;40.0;14.7;;40.0;0.1;
10303.0;GODOS;N/A;65.0;16.8;;30.0;0.1;
10303.0;GODOS;N/A;68.0;10.0;;15.0;0.1;
10307.0;LONEP;N/A;62.0;39.4;;10.0;0.0;
10307.0;LONEP;N/A;68.0;10.0;;3.0;0.0;
10309.0;HUNGO;N/A;4.0;17.6;;20.0;0.0;
10309.0;HUNGO;N/A;6.0;20.0;;30.0;0.0;
10309.0;HUNGO;N/A;42.0;11.2;;2.0;0.0;
10309.0;HUNGO;N/A;43.0;36.8;;20.0;0.0;
10309.0;HUNGO;N/A;71.0;17.2;;3.0;0.0;
10315.0;ISLAT;N/A;34.0;11.2;;14.0;0.0;
10315.0;ISLAT;N/A;70.0;12.0;;30.0;0.0;
10317.0;LONEP;N/A;1.0;14.4;;20.0;0.0;
10318.0;ISLAT;N/A;41.0;7.7;;20.0;0.0;
10318.0;ISLAT;N/A;76.0;14.4;;6.0;0.0;
10321.0;ISLAT;N/A;35.0;14.4;;10.0;0.0;
10323.0;KOENE;N/A;15.0;12.4;;5.0;0.0;
