1;1;9117;1;2004-01-27
2;1;3353;3;2004-01-27
3;1;2778;2;2004-01-27
4;1;4774;2;2004-01-27
5;1;3648;2;2004-01-27
6;1;9523;3;2004-01-27
7;1;6358;3;2004-01-27
8;1;1417;2;2004-01-27
1;2;1567;2;2004-01-01
2;2;1298;1;2004-01-01
3;2;9990;1;2004-01-01
4;2;5130;3;2004-01-01
5;2;6127;1;2004-01-01
6;2;6376;2;2004-01-01
7;2;4936;3;2004-01-01
8;2;2926;3;2004-01-01
1;3;2834;2;2004-01-17
2;3;8078;3;2004-01-17
3;3;698;3;2004-01-17
4;3;5260;1;2004-01-17
5;3;1923;2;2004-01-17
6;3;8903;2;2004-01-17
7;3;642;1;2004-01-17
8;3;4578;1;2004-01-17
9;3;2383;3;2004-01-17
1;4;3753;3;2004-01-28
2;4;5126;3;2004-01-28
3;4;5317;1;2004-01-28
4;4;4377;3;2004-01-28
5;4;9309;3;2004-01-28
1;5;6879;1;2004-01-09
2;5;4402;3;2004-01-09
3;5;8293;1;2004-01-09
4;5;2290;3;2004-01-09
1;6;6574;3;2004-01-11
2;6;4396;3;2004-01-11
3;6;3985;3;2004-01-11
4;6;6843;3;2004-01-11
5;6;4825;1;2004-01-11
6;6;9503;3;2004-01-11
1;7;6196;1;2004-01-05
2;7;7861;1;2004-01-05
3;7;4471;1;2004-01-05
4;7;1876;1;2004-01-05
1;8;1032;1;2004-01-18
2;8;4955;3;2004-01-18
3;8;9848;3;2004-01-18
4;8;6845;2;2004-01-18
5;8;7498;2;2004-01-18
6;8;2942;1;2004-01-18
7;8;5845;1;2004-01-18
8;8;1524;3;2004-01-18
9;8;1255;3;2004-01-18
1;9;526;2;2004-01-06
2;9;1763;1;2004-01-06
3;9;7978;3;2004-01-06
4;9;6566;3;2004-01-06
5;9;6395;3;2004-01-06
6;9;935;1;2004-01-06
7;9;5203;1;2004-01-06
8;9;700;1;2004-01-06
9;9;4615;3;2004-01-06
1;10;10000;1;2004-01-18
2;10;8900;1;2004-01-18
1;11;42;3;2004-01-31
1;12;9131;3;2004-01-19
2;12;3591;2;2004-01-19
3;12;5795;2;2004-01-19
4;12;6874;1;2004-01-19
1;13;5770;3;2004-01-17
2;13;7479;2;2004-01-17
3;13;355;3;2004-01-17
4;13;8333;3;2004-01-17
5;13;8733;3;2004-01-17
6;13;9795;3;2004-01-17
7;13;9034;3;2004-01-17
8;13;6669;2;2004-01-17
9;13;1640;3;2004-01-17
1;14;6295;1;2004-01-28
2;14;7007;1;2004-01-28
3;14;3288;1;2004-01-28
1;15;5107;3;2004-01-03
2;15;2801;2;2004-01-03
3;15;7193;1;2004-01-03
4;15;4715;2;2004-01-03
5;15;9444;2;2004-01-03
6;15;3364;3;2004-01-03
1;16;8333;1;2004-01-14
2;16;6755;2;2004-01-14
3;16;4820;1;2004-01-14
4;16;7121;1;2004-01-14
5;16;6219;1;2004-01-14
6;16;4140;3;2004-01-14
1;17;6092;2;2004-01-21
2;17;7308;1;2004-01-21
1;18;6532;1;2004-01-23
2;18;5325;1;2004-01-23
3;18;2605;3;2004-01-23
4;18;6862;1;2004-01-23
5;18;1113;2;2004-01-23
6;18;5767;2;2004-01-23
7;18;6666;1;2004-01-23
1;19;9844;1;2004-01-25
2;19;8274;1;2004-01-25
1;20;7649;3;2004-01-06
2;20;1212;3;2004-01-06
3;20;3839;3;2004-01-06
4;20;9431;3;2004-01-06
5;20;8620;1;2004-01-06
6;20;7937;2;2004-01-06
7;20;2973;3;2004-01-06
8;20;9097;3;2004-01-06
9;20;4982;2;2004-01-06
1;21;4637;3;2004-01-06
2;21;4960;1;2004-01-06
3;21;1805;3;2004-01-06
4;21;7276;1;2004-01-06
5;21;6032;2;2004-01-06
1;22;4986;1;2004-01-26
2;22;1383;2;2004-01-26
1;23;8369;3;2004-01-11
2;23;4961;2;2004-01-11
3;23;3944;2;2004-01-11
4;23;6089;1;2004-01-11
5;23;1513;1;2004-01-11
6;23;1079;2;2004-01-11
1;24;4274;3;2004-01-12
1;25;4875;1;2004-01-19
2;25;8831;2;2004-01-19
3;25;5178;1;2004-01-19
4;25;5576;2;2004-01-19
5;25;8300;2;2004-01-19
6;25;2444;1;2004-01-19
7;25;7294;2;2004-01-19
1;26;4108;1;2004-01-31
2;26;7833;3;2004-01-31
1;27;492;2;2004-01-10
2;27;9865;3;2004-01-10
3;27;2109;2;2004-01-10
4;27;8652;1;2004-01-10
5;27;996;2;2004-01-10
6;27;3018;2;2004-01-10
7;27;8091;1;2004-01-10
1;28;6921;2;2004-01-02
2;28;1192;2;2004-01-02
3;28;5787;2;2004-01-02
4;28;5951;2;2004-01-02
5;28;3043;3;2004-01-02
6;28;4766;1;2004-01-02
7;28;6098;2;2004-01-02
8;28;6190;2;2004-01-02
1;29;9238;1;2004-01-08
1;30;3572;3;2004-01-15
2;30;3443;3;2004-01-15
3;30;6592;1;2004-01-15
1;31;3082;1;2004-01-08
2;31;1981;2;2004-01-08
3;31;1098;3;2004-01-08
4;31;7823;3;2004-01-08
5;31;2004;2;2004-01-08
6;31;3157;2;2004-01-08
7;31;2310;2;2004-01-08
8;31;5329;1;2004-01-08
1;32;3055;3;2004-01-18
2;32;2605;2;2004-01-18
3;32;5524;3;2004-01-18
4;32;6860;3;2004-01-18
1;33;5330;3;2004-01-22
1;34;3622;3;2004-01-20
2;34;8019;3;2004-01-20
3;34;1529;1;2004-01-20
4;34;636;3;2004-01-20
1;35;12;1;2004-01-06
2;35;3053;1;2004-01-06
