true|10:26:52|2009-12-27 21:38:26|2009-11-04|2009/02/03|-0.87|2001111|8|0.9459774636285138|test
false|19:55:18|2009-08-02 10:00:53|2009-03-11|2009/01/07|-0.32|2001112|59|0.6884318487326586|testString
false|20:46:42|2009-12-29 10:11:40|2009-01-21|2009/05/14|0.78|2001113|76|0.5593057562284987|string
false|05:33:50|2009-12-29 17:17:10|2009-11-12|2009/01/10|-1.02|2001114|92|0.16329415354840493|
true|12:15:54|2009-08-31 15:32:22|2009-06-22|2009/12/24|-0.58|2001115|55|0.3103274522928148|t e s t
true|07:50:05|2009-01-10 08:41:08|2009-11-18|2009/04/02|-0.91|2001116|43|0.002951308299096511|
false|22:24:21|2009-10-24 08:07:19|2009-12-09|2009/12/11|0.19|2001117|82|0.930334796480777|string
true|17:51:50|2009-06-01 08:42:22|2009-05-29|2009/04/30|0.29|2001118|47|0.516820753958618|stringValue
true|09:05:18|2009-07-23 13:36:42|2009-12-09|2009/02/14|-2.64|2001119|15|0.5395708996838094|
true|20:03:24|2009-01-07 16:53:26|2009-01-27|2009/09/06|-1.18|2001120|31|0.1415364476719838|name
