2.390;ceil($0.Decimal);3.000
1000.123;ceil($0.Decimal);1001.000
2000.972;ceil($0.Decimal);2001.000
60000.529;ceil($0.Decimal);60001.000
3600000.287;ceil($0.Decimal);3600001.000
3660000.250;ceil($0.Decimal);3660001.000
7200000.620;ceil($0.Decimal);7200001.000
-3600000.980;ceil($0.Decimal);-3600000.000
-3660000.120;ceil($0.Decimal);-3660000.000
-7200000.230;ceil($0.Decimal);-7200000.000
2147483647.190;ceil($0.Decimal);2147483648.000
2147483648.230;ceil($0.Decimal);2147483649.000
2147483649.720;ceil($0.Decimal);2147483650.000
9147483649.898;ceil($0.Decimal);9147483650.000
-2147483647.123;ceil($0.Decimal);-2147483647.000
-2147483648.520;ceil($0.Decimal);-2147483648.000
-2147483649.780;ceil($0.Decimal);-2147483649.000
-9147483649.920;ceil($0.Decimal);-9147483649.000
91474836499147483649.198;ceil($0.Decimal);91474836499147483650.000
