1;14;ACADEMY ACADEMY;PENELOPE GUINESS;25.99;0;1976
2;6;ACADEMY ACE;EWAN RICKMAN;20.99;0;6289
3;6;ACADEMY ADAPTATION;VIVIEN KAHN;28.99;0;7173
4;3;ACADEMY AFFAIR;ALAN MARX;14.99;0;8042
5;3;ACADEMY AFRICAN;CARRIE HANNAH;11.99;1;2183
6;9;ACADEMY AGENT;LISA SPACEK;15.99;0;5243
7;8;ACADEMY AIRPLANE;FRANCES WINFREY;25.99;0;7700
8;7;ACADEMY AIRPORT;FARRAH TOMEI;16.99;0;9191
9;2;ACADEMY ALABAMA;JULIETTE WEAVER;10.99;0;6633
10;15;ACADEMY ALADDIN;ANNETTE FREEMAN;9.99;0;631
11;4;ACADEMY ALAMO;SOPHIA WINFREY;26.99;0;5398
12;7;ACADEMY ALASKA;JUDY REYNOLDS;23.99;0;393
13;8;ACADEMY ALI;TIM WASHINGTON;24.99;0;7386
14;11;ACADEMY ALICE;MENA GABLE;12.99;0;8801
15;14;ACADEMY ALIEN;DORIS FONDA;27.99;0;6867
16;16;ACADEMY ALLEY;MARLON LUGOSI;27.99;0;9240
17;7;ACADEMY ALONE;MEL SILVERSTONE;28.99;0;2159
18;16;ACADEMY ALTER;CHARLIZE WAHLBERG;27.99;0;4320
19;10;ACADEMY AMADEUS;RALPH DREYFUSS;15.99;0;2262
20;4;ACADEMY AMELIE;KIM DOUGLAS;17.99;0;9069
21;2;ACADEMY AMERICAN;JON BULLOCK;24.99;0;9351
22;11;ACADEMY AMISTAD;NICOLE GOODING;16.99;0;2323
23;10;ACADEMY ANACONDA;CHARLTON DENCH;24.99;0;7935
24;3;ACADEMY ANALYZE;AUDREY POITIER;28.99;0;5216
25;3;ACADEMY ANGELS;REESE DENCH;24.99;0;9675
26;11;ACADEMY ANNIE;BOB PRESLEY;11.99;0;783
27;2;ACADEMY ANONYMOUS;JESSICA DAFOE;26.99;0;7556
28;1;ACADEMY ANTHEM;ZERO CHASE;13.99;0;1255
29;16;ACADEMY ANTITRUST;SCARLETT BASINGER;10.99;0;9231
30;10;ACADEMY ANYTHING;CHRIS CRONYN;17.99;0;8197
31;6;ACADEMY APACHE;LAURA LANCASTER;18.99;0;997
32;9;ACADEMY APOCALYPSE;FRED PRESLEY;29.99;0;8777
33;12;ACADEMY APOLLO;ANDY MCGREGOR;24.99;0;9254
34;14;ACADEMY ARABIA;WILLEM SORVINO;24.99;0;9836
35;11;ACADEMY ARACHNOPHOBIA;CHRIS JOHANSSON;26.99;0;770
36;11;ACADEMY ARGONAUTS;LUCILLE DENIRO;13.99;0;3169
37;6;ACADEMY ARIZONA;AUDREY DEE;22.99;0;6512
38;9;ACADEMY ARK;FARRAH WINFREY;20.99;0;1133
39;8;ACADEMY ARMAGEDDON;UMA MALDEN;18.99;0;8477
40;7;ACADEMY ARMY;GREG AFFLECK;21.99;0;2339
41;11;ACADEMY ARSENIC;JOE HUSTON;15.99;0;1826
42;10;ACADEMY ARTIST;IAN BALL;23.99;0;6377
43;6;ACADEMY ATLANTIS;LIAM CRONYN;22.99;0;3284
44;12;ACADEMY ATTACKS;SYLVESTER DAFOE;23.99;0;2573
45;9;ACADEMY ATTRACTION;ELVIS BLANCHETT;27.99;0;938
46;2;ACADEMY AUTUMN;LAURA GARCIA;21.99;0;2888
47;13;ACADEMY BABY;GLENN DRIVER;12.99;0;36
48;14;ACADEMY BACKLASH;CUBA FONDA;18.99;0;9190
49;13;ACADEMY BADMAN;CARMEN OLIVIER;23.99;0;7743
50;16;ACADEMY BAKED;SALMA VOIGHT;13.99;0;5481
51;5;ACADEMY BALLOON;SPENCER TRACY;27.99;0;5762
52;3;ACADEMY BALLROOM;SALMA DIETRICH;19.99;0;8490
53;8;ACADEMY BANG;CLINT DUKAKIS;23.99;0;1391
54;10;ACADEMY BANGER;ROCK JACKMAN;24.99;0;2220
55;8;ACADEMY BARBARELLA;CATE BRODY;16.99;0;9319
56;15;ACADEMY BAREFOOT;ROCK MCDORMAND;26.99;0;3350
57;7;ACADEMY BASIC;LIAM MOORE;14.99;0;726
58;2;ACADEMY BEACH;GWYNETH MIRANDA;15.99;0;912
59;7;ACADEMY BEAR;LAUREN WASHINGTON;14.99;0;7618
60;8;ACADEMY BEAST;SHIRLEY CHASE;22.99;0;2079
61;9;ACADEMY BEAUTY;ROBERT HECHE;17.99;0;3261
62;12;ACADEMY BED;WILLIAM MCQUEEN;16.99;0;1361
63;7;ACADEMY BEDAZZLED;PENELOPE AKROYD;25.99;0;1147
64;14;ACADEMY BEETHOVEN;ANGELINA PESCI;18.99;0;7080
65;4;ACADEMY BEHAVIOR;SANDRA HUNT;10.99;0;3829
66;5;ACADEMY BENEATH;RICHARD MOORE;11.99;0;535
67;8;ACADEMY BERETS;MERYL RUSH;18.99;0;5897
68;10;ACADEMY BETRAYED;LENA KELLY;16.99;0;8888
69;8;ACADEMY BEVERLY;LIAM COOPER;20.99;0;5962
70;4;ACADEMY BIKINI;AUDREY SOBIESKI;11.99;0;1697
71;8;ACADEMY BILKO;ROBERT DEAN;15.99;0;8783
72;6;ACADEMY BILL;MARLON SILVERSTONE;9.99;0;7783
73;11;ACADEMY BINGO;GARY SPACEK;13.99;0;6125
74;2;ACADEMY BIRCH;PENELOPE NEWMAN;24.99;0;4012
75;6;ACADEMY BIRD;DREW HEPBURN;17.99;0;1548
76;9;ACADEMY BIRDCAGE;HELEN ALLEN;17.99;0;7375
77;5;ACADEMY BIRDS;KEVIN MIRANDA;28.99;0;8098
78;12;ACADEMY BLACKOUT;MARISA FIELD;9.99;0;8440
